category,code,title,regional_components
Metropolitan Area,30460,"Lexington-Fayette, KY","Bourbon County, KY (21017); Clark County, KY (21049); Fayette County, KY (21067); Jessamine County, KY (21113); Scott County, KY (21209); Woodford County, KY (21239)"
Metropolitan Area,30620,"Lima, OH","Allen County, OH (39003)"
Metropolitan Area,30700,"Lincoln, NE","Lancaster County, NE (31109); Seward County, NE (31159)"
Metropolitan Area,30780,"Little Rock-North Little Rock-Conway, AR","Faulkner County, AR (05045); Grant County, AR (05053); Lonoke County, AR (05085); Perry County, AR (05105); Pulaski County, AR (05119); Saline County, AR (05125)"
Metropolitan Area,30860,"Logan, UT-ID","Franklin County, ID (16041); Cache County, UT (49005)"
Metropolitan Area,30980,"Longview, TX","Gregg County, TX (48183); Rusk County, TX (48401); Upshur County, TX (48459)"
Metropolitan Area,31020,"Longview, WA","Cowlitz County, WA (53015)"
Metropolitan Area,31100,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles County, CA (06037); Orange County, CA (06059)"
Metropolitan Area,31140,"Louisville/Jefferson County, KY-IN","Clark County, IN (18019); Floyd County, IN (18043); Harrison County, IN (18061); Washington County, IN (18175); Bullitt County, KY (21029); Henry County, KY (21103); Jefferson County, KY (21111); Meade County, KY (21163); Nelson County, KY (21179); Oldham County, KY (21185); Shelby County, KY (21211); Spencer County, KY (21215); Trimble County, KY (21223)"
Metropolitan Area,31180,"Lubbock, TX","Crosby County, TX (48107); Lubbock County, TX (48303)"
Metropolitan Area,31340,"Lynchburg, VA","Amherst County, VA (51009); Appomattox County, VA (51011); Bedford County, VA (51019); Campbell County, VA (51031); Bedford city, VA (51515); Lynchburg city, VA (51680)"
Metropolitan Area,31420,"Macon, GA","Bibb County, GA (13021); Crawford County, GA (13079); Jones County, GA (13169); Monroe County, GA (13207); Twiggs County, GA (13289)"
Metropolitan Area,31460,"Madera-Chowchilla, CA","Madera County, CA (06039)"
Metropolitan Area,31540,"Madison, WI","Columbia County, WI (55021); Dane County, WI (55025); Iowa County, WI (55049)"
Metropolitan Area,31700,"Manchester-Nashua, NH","Hillsborough County, NH (33011)"
Metropolitan Area,31740,"Manhattan, KS","Geary County, KS (20061); Pottawatomie County, KS (20149); Riley County, KS (20161)"
Metropolitan Area,31860,"Mankato-North Mankato, MN","Blue Earth County, MN (27013); Nicollet County, MN (27103)"
Metropolitan Area,31900,"Mansfield, OH","Richland County, OH (39139)"
Metropolitan Area,32420,"Mayagüez, PR","Hormigueros Municipio, PR (72067); Mayagüez Municipio, PR (72097)"
Metropolitan Area,32580,"McAllen-Edinburg-Mission, TX","Hidalgo County, TX (48215)"
Metropolitan Area,32780,"Medford, OR","Jackson County, OR (41029)"
Metropolitan Area,32820,"Memphis, TN-MS-AR","Crittenden County, AR (05035); DeSoto County, MS (28033); Marshall County, MS (28093); Tate County, MS (28137); Tunica County, MS (28143); Fayette County, TN (47047); Shelby County, TN (47157); Tipton County, TN (47167)"
Metropolitan Area,32900,"Merced, CA","Merced County, CA (06047)"
Metropolitan Area,33100,"Miami-Fort Lauderdale-Pompano Beach, FL","Broward County, FL (12011); Miami-Dade County, FL (12086); Palm Beach County, FL (12099)"
Metropolitan Area,33140,"Michigan City-La Porte, IN","LaPorte County, IN (18091)"
